sender,sender_type,sender_id,timestamp,meta,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9,MIDI,PNG,WAV,age,block,duration,education,ended_on,gender,music_education,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,userResponse,visual_education
Landing page,html.Screen,0,2020-09-22T18:25:00.815Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""development"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""sv-SE"",""locale"":""sv"",""timeZone"":""Europe/Stockholm"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":968,""scroll_height"":703,""window_innerWidth"":968,""window_innerHeight"":727,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,2113.7649998936804,,response,,,Continue,keypress(Space),2637.254999950528,2634.46499989368,504.043,863.0649999249727,520.7,2287.38,{},,
Fixation,canvas.Screen,1_0_0_0,2020-09-22T18:25:01.263Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,433.40200000000004,,timeout,,,,,3086.074999999255,3084.6349999774247,2270.751,2639.394999947399,2287.38,2720.782,,,
VisualStimuli,html.Screen,1_0_0_1,2020-09-22T18:25:05.795Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,4890.7779998738615,,done,,,,,7617.979999864474,7611.559999873862,3084.6349999774247,3086.604999843985,2720.782,7254.037,,arousal1,
Sequence,flow.Sequence,1_0_0,2020-09-22T18:25:05.796Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,5324.179999873862,,completion,,,,,7618.249999824911,7611.559999873862,2270.751,2639.299999922514,2287.38,7254.037,,,
Fixation,canvas.Screen,1_0_1_0,2020-09-22T18:25:06.238Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,433.3119999999999,,timeout,,,,,8060.305000049993,8060.039999894798,7237.433,7618.379999883473,7254.037,7687.349,,,
VisualStimuli,html.Screen,1_0_1_1,2020-09-22T18:25:08.411Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,2546.2809999151377,,done,,,,,10233.774999855086,10233.629999915138,8060.039999894798,8060.524999862537,7687.349,9888.42,,arousal0,
Sequence,flow.Sequence,1_0_1,2020-09-22T18:25:08.411Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,2979.5929999151376,,completion,,,,,10233.934999909252,10233.629999915138,7237.433,7618.3400000445545,7254.037,9888.42,,,
Fixation,canvas.Screen,1_0_2_0,2020-09-22T18:25:08.872Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,432.3199999999997,,timeout,,,,,10694.630000041798,10693.564999848604,9854.084,10234.029999934137,9888.42,10320.74,,,
VisualStimuli,html.Screen,1_0_2_1,2020-09-22T18:25:11.158Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,2660.1399999300393,,done,,,,,12981.015000026673,12980.879999930039,10693.564999848604,10695.104999933392,10320.74,12620.654,,arousal2,
Sequence,flow.Sequence,1_0_2,2020-09-22T18:25:11.159Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,3092.459999930039,,completion,,,,,12981.174999848008,12980.879999930039,9854.084,10234.004999976605,9888.42,12620.654,,,
Fixation,canvas.Screen,1_0_3_0,2020-09-22T18:25:11.594Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,433.29399999999987,,timeout,,,,,13416.865000035614,13416.724999900907,12603.987,12981.260000029579,12620.654,13053.948,,,
VisualStimuli,html.Screen,1_0_3_1,2020-09-22T18:25:13.965Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,2733.3020000521537,,done,,,,,15787.424999987707,15787.250000052154,13416.724999900907,13416.96499986574,13053.948,15453.961,,arousal0,
Sequence,flow.Sequence,1_0_3,2020-09-22T18:25:13.965Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,3166.5960000521536,,completion,,,,,15787.599999923259,15787.250000052154,12603.987,12981.239999877289,12620.654,15453.961,,,
Loop,flow.Loop,1_0,2020-09-22T18:25:13.965Z,,,,,,,,,,,,,,,,,,,,,,,,,13499.870000052153,,completion,,,,,15787.92000003159,15787.250000052154,2270.751,2639.234999893233,2287.38,15453.961,,,
Frame,html.Frame,1,2020-09-22T18:25:13.973Z,,,,,,,,,,,,,,,,,,,,,,,,,13508.359999972283,,,,,,,15796.059999847785,15795.739999972284,2270.751,2638.349999906495,2287.38,15453.961,,,
Fixation,canvas.Screen,2_0_0_0,2020-09-22T18:25:14.428Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,433.40600000000086,,timeout,,,,,16250.844999914989,16250.284999841824,15437.301,15796.949999872595,15453.961,15887.367,,,
AudioStimuli,html.Screen,2_0_0_1,2020-09-22T18:25:23.813Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,9747.722999996126,,done,,,,,25635.359999956563,25635.089999996126,16250.284999841824,16251.18499994278,15887.367,25287.22,,arousal0,
Sequence,flow.Sequence,2_0_0,2020-09-22T18:25:23.813Z,,,,,,,,,,,,,,,,,,,,s.mid,o.png,s.wav,,Practice,10181.128999996126,,completion,,,,,25635.534999892116,25635.089999996126,15437.301,15796.929999953136,15453.961,25287.22,,,
Fixation,canvas.Screen,2_0_1_0,2020-09-22T18:25:24.262Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,450.637999999999,,timeout,,,,,26084.319999907166,26084.07499990426,25270.599,25635.624999878928,25287.22,25737.858,,,
AudioStimuli,html.Screen,2_0_1_1,2020-09-22T18:25:30.771Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,6855.361999922439,,done,,,,,32593.36999990046,32593.21999992244,26084.07499990426,26084.58499982953,25737.858,32237.248,,arousal0,
Sequence,flow.Sequence,2_0_1,2020-09-22T18:25:30.771Z,,,,,,,,,,,,,,,,,,,,b.mid,a.png,b.wav,,Practice,7305.999999922438,,completion,,,,,32593.574999831617,32593.21999992244,25270.599,25635.599999921396,25287.22,32237.248,,,
Fixation,canvas.Screen,2_0_2_0,2020-09-22T18:25:31.212Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,433.2649999999994,,timeout,,,,,33035.0150000304,33034.86999985762,32220.595,32593.70999992825,32237.248,32670.513,,,
AudioStimuli,html.Screen,2_0_2_1,2020-09-22T18:25:37.524Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,6675.771999977798,,done,,,,,39346.449999837205,39346.2849999778,33034.86999985762,33035.12499993667,32670.513,39003.854,,arousal-1,
Sequence,flow.Sequence,2_0_2,2020-09-22T18:25:37.524Z,,,,,,,,,,,,,,,,,,,,k.mid,i.png,k.wav,,Practice,7109.036999977798,,completion,,,,,39346.57999989577,39346.2849999778,32220.595,32593.68499997072,32237.248,39003.854,,,
Fixation,canvas.Screen,2_0_3_0,2020-09-22T18:25:37.978Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,433.3680000000022,,timeout,,,,,39800.51500000991,39800.27999985032,38987.246,39346.64999996312,39003.854,39437.222,,,
AudioStimuli,html.Screen,2_0_3_1,2020-09-22T18:25:43.919Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,6304.517999968557,,done,,,,,45741.88499990851,45741.73999996856,39800.27999985032,39800.844999961555,39437.222,45387.137,,arousal1,
Sequence,flow.Sequence,2_0_3,2020-09-22T18:25:43.919Z,,,,,,,,,,,,,,,,,,,,c.mid,e.png,c.wav,,Practice,6737.885999968559,,completion,,,,,45742.01499996707,45741.73999996856,38987.246,39346.63000004366,39003.854,45387.137,,,
Loop,flow.Loop,2_0,2020-09-22T18:25:43.919Z,,,,,,,,,,,,,,,,,,,,,,,,,30287.77899996856,,completion,,,,,45742.11999983527,45741.73999996856,15437.301,15796.889999881387,15453.961,45387.137,,,
Frame,html.Frame,2,2020-09-22T18:25:43.920Z,,,,,,,,,,,,,,,,,,,,,,,,,30288.22399986455,,,,,,,45742.22999997437,45742.18499986455,15437.301,15796.229999978095,15453.961,45387.137,,,
The Need for Cognition Scale,html.Form,3,2020-09-22T18:26:06.179Z,,+4,+4,-2,+2,-3,+3,-2,+3,-1,+4,+2,-2,+2,-2,+2,-2,+4,-2,,,,,,22614.148000005735,,form submission,,,,,68001.43499998376,68001.28500000574,45370.537,45742.28999996558,45387.137,67636.973,,,
The Need for Emotion Scale,html.Form,4,2020-09-22T18:26:20.018Z,,-2,+2,+1,0,,,,,,,+1,-2,0,-1,+1,-1,+2,-1,,,,,,14203.34199992125,,form submission,,,,,81840.40999994613,81840.31499992125,67620.351,68001.58499996178,67636.973,81503.582,,,
Demographics ,html.Form,5,2020-09-22T18:26:29.307Z,,,,,,,,,,,,,,,,,,,,,,,28,,9626.517999951204,at_college_uni,form submission,man,no,,,91130.20000001416,91130.0999999512,81486.896,81840.54999984801,81503.582,90786.776,,,no
root,flow.Sequence,,2020-09-22T18:26:29.308Z,,,,,,,,,,,,,,,,,,,,,,,,,90609.3999999512,,completion,,,,,91130.51499985158,91130.0999999512,504.043,862.8000000026077,520.7,90786.776,,,