Block;Stimulus;WAV;MIDI;;;;
B;B1;B1.wav;B1.mid;;;;
B;B3;B3.wav;B3.mid;;;;
B;B4;B4.wav;B4.mid;;;;
B;B7;B7.wav;B7.mid;;;;
B;B12;B12.wav;B12.mid;;;;
B;B13;B13.wav;B13.mid;;;;
B;B14;B14.wav;B14.mid;;;;
B;B17;B17.wav;B17.mid;;;;
B;B19;B19.wav;B19.mid;;;;
B;B23;B23.wav;B23.mid;;;;
B;B25;B25.wav;B25.mid;;;;
B;B26;B26.wav;B26.mid;;;;
B;B31;B31.wav;B31.mid;;;;
B;B32;B32.wav;B32.mid;;;;
B;B34;B34.wav;B34.mid;;;;
B;B35;B35.wav;B35.mid;;;;
B;B38;B38.wav;B38.mid;;;;
B;B41;B41.wav;B41.mid;;;;
B;B43;B43.wav;B43.mid;;;;
B;B45;B45.wav;B45.mid;;;;
B;B46;B46.wav;B46.mid;;;;
B;B49;B49.wav;B49.mid;;;;
C;C2;C2.wav;C2.mid;;;;
C;C3;C3.wav;C3.mid;;;;
C;C5;C5.wav;C5.mid;;;;
C;C7;C7.wav;C7.mid;;;;
C;C13;C13.wav;C13.mid;;;;
C;C15;C15.wav;C15.mid;;;;
C;C20;C20.wav;C20.mid;;;;
C;C21;C21.wav;C21.mid;;;;
C;C22;C22.wav;C22.mid;;;;
C;C23;C23.wav;C23.mid;;;;
C;C25;C25.wav;C25.mid;;;;
C;C26;C26.wav;C26.mid;;;;
C;C27;C27.wav;C27.mid;;;;
C;C29;C29.wav;C29.mid;;;;
C;C32;C32.wav;C32.mid;;;;
C;C33;C33.wav;C33.mid;;;;
C;C34;C34.wav;C34.mid;;;;
C;C37;C37.wav;C37.mid;;;;
C;C42;C42.wav;C42.mid;;;;
C;C45;C45.wav;C45.mid;;;;
C;C46;C46.wav;C46.mid;;;;
C;C49;C49.wav;C49.mid;;;;
K;K1;K1.wav;K1.mid;;;;
K;K2;K2.wav;K2.mid;;;;
K;K3;K3.wav;K3.mid;;;;
K;K4;K4.wav;K4.mid;;;;
K;K5;K5.wav;K5.mid;;;;
K;K6;K6.wav;K6.mid;;;;
K;K7;K7.wav;K7.mid;;;;
K;K9;K9.wav;K9.mid;;;;
K;K10;K10.wav;K10.mid;;;;
K;K12;K12.wav;K12.mid;;;;
K;K19;K19.wav;K19.mid;;;;
K;K27;K27.wav;K27.mid;;;;
K;K29;K29.wav;K29.mid;;;;
K;K33;K33.wav;K33.mid;;;;
K;K34;K34.wav;K34.mid;;;;
K;K40;K40.wav;K40.mid;;;;
K;K41;K41.wav;K41.mid;;;;
K;K42;K42.wav;K42.mid;;;;
K;K43;K43.wav;K43.mid;;;;
K;K46;K46.wav;K46.mid;;;;
K;K47;K47.wav;K47.mid;;;;
K;K48;K48.wav;K48.mid;;;;
S;S4;S4.wav;S4.mid;;;;
S;S8;S8.wav;S8.mid;;;;
S;S9;S9.wav;S9.mid;;;;
S;S10;S10.wav;S10.mid;;;;
S;S11;S11.wav;S11.mid;;;;
S;S13;S13.wav;S13.mid;;;;
S;S14;S14.wav;S14.mid;;;;
S;S16;S16.wav;S16.mid;;;;
S;S18;S18.wav;S18.mid;;;;
S;S21;S21.wav;S21.mid;;;;
S;S22;S22.wav;S22.mid;;;;
S;S27;S27.wav;S27.mid;;;;
S;S30;S30.wav;S30.mid;;;;
S;S34;S34.wav;S34.mid;;;;
S;S37;S37.wav;S37.mid;;;;
S;S39;S39.wav;S39.mid;;;;
S;S40;S40.wav;S40.mid;;;;
S;S42;S42.wav;S42.mid;;;;
S;S44;S44.wav;S44.mid;;;;
S;S45;S45.wav;S45.mid;;;;
S;S46;S46.wav;S46.mid;;;;
S;S47;S47.wav;S47.mid;;;;
Practice;b;b.wav;b.mid;;;;
Practice;c;c.wav;c.mid;;;;
Practice;k;k.wav;k.mid;;;;
Practice;s;s.wav;s.mid;;;;